project,amount,billDate,type
FE3AH,-1600.0,2020-06-01,01-Vendor
FE3AH,-1233.33,2020-09-01,01-Vendor
FE3AH,-1100.0,2020-05-01,01-Vendor
FE3AH,-350.0,2020-07-01,01-Vendor
FE3AH,-350.0,2020-08-01,01-Vendor
FE3AH,-80.0,2020-05-01,01-Vendor
FE3AH,-62.7,2020-03-01,01-Vendor
FE3AH,99999.80000000002,2020-11-04,03-Revenue
FE3AH,399999.20000000007,2020-07-30,03-Revenue
FE3AH,499999.0,2020-09-30,03-Revenue
FE5AB/6AB,-100000.0,2020-06-01,01-Vendor
FE5AB/6AB,-65000.0,2020-08-01,01-Vendor
FE5AB/6AB,-62673.75,2020-04-01,01-Vendor
FE5AB/6AB,-60690.0,2020-04-01,01-Vendor
FE5AB/6AB,-60480.0,2020-05-01,01-Vendor
FE5AB/6AB,-60000.0,2020-07-01,01-Vendor
FE5AB/6AB,-57374.85,2020-04-01,01-Vendor
FE5AB/6AB,-56733.75,2019-11-01,01-Vendor
FE5AB/6AB,-56362.0,2020-07-01,01-Vendor
FE5AB/6AB,-55710.0,2019-11-01,01-Vendor
FE5AB/6AB,-54810.0,2020-05-01,01-Vendor
FE5AB/6AB,-54112.14,2020-04-01,01-Vendor
FE5AB/6AB,-54000.61,2020-03-01,01-Vendor
FE5AB/6AB,-54000.0,2020-05-01,01-Vendor
FE5AB/6AB,-53460.0,2020-03-01,01-Vendor
FE5AB/6AB,-52965.0,2020-03-01,01-Vendor
FE5AB/6AB,-52815.0,2020-08-01,01-Vendor
FE5AB/6AB,-52773.75,2020-04-01,01-Vendor
FE5AB/6AB,-52650.26,2020-03-01,01-Vendor
FE5AB/6AB,-52526.25,2019-11-01,01-Vendor
FE5AB/6AB,-51412.06,2020-05-01,01-Vendor
FE5AB/6AB,-51240.0,2019-11-01,01-Vendor
FE5AB/6AB,-51165.0,2020-06-01,01-Vendor
FE5AB/6AB,-49717.5,2020-08-01,01-Vendor
FE5AB/6AB,-49275.0,2020-07-01,01-Vendor
FE5AB/6AB,-49274.95,2020-05-01,01-Vendor
FE5AB/6AB,-48938.18,2020-06-01,01-Vendor
FE5AB/6AB,-48870.0,2020-06-01,01-Vendor
FE5AB/6AB,-48825.0,2020-07-01,01-Vendor
FE5AB/6AB,-47823.75,2019-12-01,01-Vendor
FE5AB/6AB,-47723.7,2019-12-01,01-Vendor
FE5AB/6AB,-47576.25,2019-12-01,01-Vendor
FE5AB/6AB,-47460.0,2019-12-01,01-Vendor
FE5AB/6AB,-47328.75,2020-05-01,01-Vendor
FE5AB/6AB,-47250.0,2020-08-01,01-Vendor
FE5AB/6AB,-46612.5,2020-07-01,01-Vendor
FE5AB/6AB,-46292.3,2019-11-01,01-Vendor
FE5AB/6AB,-46200.0,2019-12-01,01-Vendor
FE5AB/6AB,-45596.25,2019-12-01,01-Vendor
FE5AB/6AB,-44100.0,2019-10-01,01-Vendor
FE5AB/6AB,-43680.0,2019-09-01,01-Vendor
FE5AB/6AB,-43260.0,2020-06-01,01-Vendor
FE5AB/6AB,-42862.85,2020-03-01,01-Vendor
FE5AB/6AB,-42862.5,2020-06-01,01-Vendor
FE5AB/6AB,-42750.0,2020-08-01,01-Vendor
FE5AB/6AB,-42502.5,2019-10-01,01-Vendor
FE5AB/6AB,-41895.0,2020-03-01,01-Vendor
FE5AB/6AB,-40425.0,2020-09-01,01-Vendor
FE5AB/6AB,-38700.0,2020-11-01,01-Vendor
FE5AB/6AB,-38666.25,2019-10-01,01-Vendor
FE5AB/6AB,-38430.0,2020-12-01,01-Vendor
FE5AB/6AB,-38088.75,2020-09-01,01-Vendor
FE5AB/6AB,-35317.74,2019-12-01,01-Vendor
FE5AB/6AB,-35212.5,2020-10-01,01-Vendor
FE5AB/6AB,-34998.75,2020-01-01,01-Vendor
FE5AB/6AB,-33052.5,2020-01-01,01-Vendor
FE5AB/6AB,-32962.5,2020-09-01,01-Vendor
FE5AB/6AB,-32850.0,2020-10-01,01-Vendor
FE5AB/6AB,-32703.75,2020-01-01,01-Vendor
FE5AB/6AB,-30600.0,2020-11-01,01-Vendor
FE5AB/6AB,-29925.0,2020-02-01,01-Vendor
FE5AB/6AB,-29565.0,2020-02-01,01-Vendor
FE5AB/6AB,-29193.75,2019-10-01,01-Vendor
FE5AB/6AB,-28455.0,2020-02-01,01-Vendor
FE5AB/6AB,-27930.0,2020-01-01,01-Vendor
FE5AB/6AB,-27850.0,2019-11-01,01-Vendor
FE5AB/6AB,-26775.0,2020-02-01,01-Vendor
FE5AB/6AB,-26550.0,2020-08-01,01-Vendor
FE5AB/6AB,-26250.0,2020-01-01,01-Vendor
FE5AB/6AB,-26105.63,2020-12-01,01-Vendor
FE5AB/6AB,-25511.25,2020-07-01,01-Vendor
FE5AB/6AB,-25410.0,2020-04-01,01-Vendor
FE5AB/6AB,-25092.0,2020-05-01,01-Vendor
FE5AB/6AB,-24300.2722,2020-05-01,01-Vendor
FE5AB/6AB,-24300.27,2020-04-01,01-Vendor
FE5AB/6AB,-24300.0,2020-02-01,01-Vendor
FE5AB/6AB,-24150.0,2021-01-01,01-Vendor
FE5AB/6AB,-23850.0,2019-12-01,01-Vendor
FE5AB/6AB,-23850.0,2020-01-01,01-Vendor
FE5AB/6AB,-23850.0,2020-05-01,01-Vendor
FE5AB/6AB,-23850.0,2020-09-01,01-Vendor
FE5AB/6AB,-23400.0,2020-07-01,01-Vendor
FE5AB/6AB,-23229.375,2020-09-01,01-Vendor
FE5AB/6AB,-22941.0,2020-04-01,01-Vendor
FE5AB/6AB,-22918.5,2020-03-01,01-Vendor
FE5AB/6AB,-22680.0,2019-10-01,01-Vendor
FE5AB/6AB,-22387.5,2020-10-01,01-Vendor
FE5AB/6AB,-21768.75,2020-06-01,01-Vendor
FE5AB/6AB,-21599.7,2020-04-01,01-Vendor
FE5AB/6AB,-21527.42,2020-04-01,01-Vendor
FE5AB/6AB,-21000.0,2019-12-01,01-Vendor
FE5AB/6AB,-20461.5,2020-06-01,01-Vendor
FE5AB/6AB,-20160.0,2019-11-01,01-Vendor
FE5AB/6AB,-19850.0,2020-01-01,01-Vendor
FE5AB/6AB,-19850.0,2020-02-01,01-Vendor
FE5AB/6AB,-19850.0,2020-03-01,01-Vendor
FE5AB/6AB,-19635.0,2020-08-01,01-Vendor
