project,amount,invoiceDate,type
FE5AB/6AB,0,2020-02-01,02-RBEI
BYD,-7152.96,2020-02-01,02-RBEI
HMI,-28611.84,2020-02-01,02-RBEI
GE13,-22702.5,2020-02-01,02-RBEI
FE3AH,-62.7,2020-03-01,02-RBEI
GE13,-4000,2020-03-01,02-RBEI
GE13,-6100,2020-03-01,02-RBEI
BYD,-4816.96,2020-03-01,02-RBEI
FE5AB/6AB,-450,2020-03-01,02-RBEI
FE3AH,-40500,2020-03-01,02-RBEI
FE5AB/6AB,-19850,2020-03-01,02-RBEI
FE5AB/6AB,-2967.74,2020-03-01,02-RBEI
GE13,-19850,2020-03-01,02-RBEI
GE13,-2967.74,2020-03-01,02-RBEI
GE13,-45899.45,2020-03-01,02-RBEI
GE13,-52593.75,2020-03-01,02-RBEI
FE5AB/6AB,-41895,2020-03-01,02-RBEI
GE13,-50737.5,2020-03-01,02-RBEI
FE5AB/6AB,-52965,2020-03-01,02-RBEI
FE5AB/6AB,-54000.61,2020-03-01,02-RBEI
GE13,-51232.5,2020-03-01,02-RBEI
GE13,-44583.75,2020-03-01,02-RBEI
FE5AB/6AB,-42862.85,2020-03-01,02-RBEI
FE5AB/6AB,-15172.5,2020-03-01,02-RBEI
GE13,-15172.5,2020-03-01,02-RBEI
FE3AH,-34377.75,2020-03-01,02-RBEI
FE5AB/6AB,-22918.5,2020-03-01,02-RBEI
FE5AB/6AB,-53460,2020-03-01,02-RBEI
GE13,-51356.25,2020-03-01,02-RBEI
FE5AB/6AB,-52650.26,2020-03-01,02-RBEI
BYD,-19800.29,2020-03-01,02-RBEI
GE13,-44549.53,2020-03-01,02-RBEI
GE13,-52098.75,2020-03-01,02-RBEI
GE13,-6000,2020-04-01,02-RBEI
GE13,-235,2020-04-01,02-RBEI
FE3AH,-4800,2020-04-01,02-RBEI
BYD,-6783.4,2020-04-01,02-RBEI
FE3AH,-1880,2020-04-01,02-RBEI
FE3AH,-4754.5,2020-04-01,02-RBEI
GE13,-450,2020-04-01,02-RBEI
FE5AB/6AB,-18000,2020-04-01,02-RBEI
GE13,-18000,2020-04-01,02-RBEI
FE5AB/6AB,-21527.42,2020-04-01,02-RBEI
FE5AB/6AB,-6133.33,2020-04-01,02-RBEI
GE13,-21527.42,2020-04-01,02-RBEI
GE13,-6133.33,2020-04-01,02-RBEI
FE3AH,-46800.48,2020-04-01,02-RBEI
